,name,percentage change,averages
110,Dai,quote.USD.percent_change_7d,-0.0058525
111,Dai,quote.USD.percent_change_30d,0.01488965
112,Dai,quote.USD.percent_change_60d,0.00201851
113,Dai,quote.USD.percent_change_90d,-0.00710875
114,Litecoin,quote.USD.percent_change_1h,-0.47652859
115,Litecoin,quote.USD.percent_change_24h,-2.21069432
116,Litecoin,quote.USD.percent_change_7d,3.88980749
117,Litecoin,quote.USD.percent_change_30d,-0.67143473
118,Litecoin,quote.USD.percent_change_60d,-14.29073023
119,Litecoin,quote.USD.percent_change_90d,-12.77435623
0,Bitcoin,quote.USD.percent_change_1h,-0.0026081
1,Bitcoin,quote.USD.percent_change_24h,-1.81282031
2,Bitcoin,quote.USD.percent_change_7d,10.53701638
3,Bitcoin,quote.USD.percent_change_30d,-1.4041389
4,Bitcoin,quote.USD.percent_change_60d,-4.25309431
5,Bitcoin,quote.USD.percent_change_90d,-1.26008793
6,Ethereum,quote.USD.percent_change_1h,0.01198067
7,Ethereum,quote.USD.percent_change_24h,-0.65516818
8,Ethereum,quote.USD.percent_change_7d,9.23253562
9,Ethereum,quote.USD.percent_change_30d,0.17219584
10,Ethereum,quote.USD.percent_change_60d,10.48692619
11,Ethereum,quote.USD.percent_change_90d,10.15377909
12,Tether USDt,quote.USD.percent_change_1h,0.03166438
13,Tether USDt,quote.USD.percent_change_24h,0.01357317
14,Tether USDt,quote.USD.percent_change_7d,0.02315058
15,Tether USDt,quote.USD.percent_change_30d,0.06199257
16,Tether USDt,quote.USD.percent_change_60d,0.02237093
17,Tether USDt,quote.USD.percent_change_90d,-0.0093887
18,BNB,quote.USD.percent_change_1h,-0.24196977
19,BNB,quote.USD.percent_change_24h,-1.17754154
20,BNB,quote.USD.percent_change_7d,7.71686583
21,BNB,quote.USD.percent_change_30d,-1.99047107
22,BNB,quote.USD.percent_change_60d,-1.57120896
23,BNB,quote.USD.percent_change_90d,1.06680796
24,Solana,quote.USD.percent_change_1h,-0.62393258
25,Solana,quote.USD.percent_change_24h,-0.53230846
26,Solana,quote.USD.percent_change_7d,13.98080129
27,Solana,quote.USD.percent_change_30d,18.76648918
28,Solana,quote.USD.percent_change_60d,-7.99329
29,Solana,quote.USD.percent_change_90d,7.65427952
30,USDC,quote.USD.percent_change_1h,-0.01025561
31,USDC,quote.USD.percent_change_24h,-0.00168649
32,USDC,quote.USD.percent_change_7d,0.00362344
33,USDC,quote.USD.percent_change_30d,-0.00512177
34,USDC,quote.USD.percent_change_60d,-0.00472255
35,USDC,quote.USD.percent_change_90d,-0.01040386
36,XRP,quote.USD.percent_change_1h,-0.01531951
37,XRP,quote.USD.percent_change_24h,-8.41802869
38,XRP,quote.USD.percent_change_7d,27.30184977
39,XRP,quote.USD.percent_change_30d,18.96108782
40,XRP,quote.USD.percent_change_60d,11.67873297
41,XRP,quote.USD.percent_change_90d,12.40460532
42,Toncoin,quote.USD.percent_change_1h,-0.34471129
43,Toncoin,quote.USD.percent_change_24h,0.79295462
44,Toncoin,quote.USD.percent_change_7d,0.36883012
45,Toncoin,quote.USD.percent_change_30d,4.36873994
46,Toncoin,quote.USD.percent_change_60d,13.16148449
47,Toncoin,quote.USD.percent_change_90d,17.73334464
48,Dogecoin,quote.USD.percent_change_1h,-0.98823825
49,Dogecoin,quote.USD.percent_change_24h,-4.09425921
50,Dogecoin,quote.USD.percent_change_7d,10.16456396
51,Dogecoin,quote.USD.percent_change_30d,-1.13093768
52,Dogecoin,quote.USD.percent_change_60d,-21.37442884
53,Dogecoin,quote.USD.percent_change_90d,-23.21402802
54,Cardano,quote.USD.percent_change_1h,-0.91090743
55,Cardano,quote.USD.percent_change_24h,-4.9853266
56,Cardano,quote.USD.percent_change_7d,6.26397021
57,Cardano,quote.USD.percent_change_30d,13.92920328
58,Cardano,quote.USD.percent_change_60d,-10.3194578
59,Cardano,quote.USD.percent_change_90d,-10.64530156
60,TRON,quote.USD.percent_change_1h,-0.03382527
61,TRON,quote.USD.percent_change_24h,-0.23703239
62,TRON,quote.USD.percent_change_7d,-0.60912524
63,TRON,quote.USD.percent_change_30d,16.47211357
64,TRON,quote.USD.percent_change_60d,10.53549603
65,TRON,quote.USD.percent_change_90d,21.26572186
66,Avalanche,quote.USD.percent_change_1h,-0.7114894
67,Avalanche,quote.USD.percent_change_24h,-4.35646636
68,Avalanche,quote.USD.percent_change_7d,5.77444687
69,Avalanche,quote.USD.percent_change_30d,3.88730278
70,Avalanche,quote.USD.percent_change_60d,-25.14076333
71,Avalanche,quote.USD.percent_change_90d,-23.90769267
72,Shiba Inu,quote.USD.percent_change_1h,-1.18436851
73,Shiba Inu,quote.USD.percent_change_24h,-9.937851
74,Shiba Inu,quote.USD.percent_change_7d,3.67331159
75,Shiba Inu,quote.USD.percent_change_30d,-3.1896623
76,Shiba Inu,quote.USD.percent_change_60d,-29.00483526
77,Shiba Inu,quote.USD.percent_change_90d,-25.68511549
78,Polkadot,quote.USD.percent_change_1h,-0.56145744
79,Polkadot,quote.USD.percent_change_24h,-5.22142036
80,Polkadot,quote.USD.percent_change_7d,1.80173494
81,Polkadot,quote.USD.percent_change_30d,7.33956932
82,Polkadot,quote.USD.percent_change_60d,-13.069832
83,Polkadot,quote.USD.percent_change_90d,-10.5993584
84,Chainlink,quote.USD.percent_change_1h,-0.6740159
85,Chainlink,quote.USD.percent_change_24h,-4.05879339
86,Chainlink,quote.USD.percent_change_7d,6.81431534
87,Chainlink,quote.USD.percent_change_30d,0.36039496
88,Chainlink,quote.USD.percent_change_60d,-20.30544371
89,Chainlink,quote.USD.percent_change_90d,-3.35339854
90,Bitcoin Cash,quote.USD.percent_change_1h,-0.82857425
91,Bitcoin Cash,quote.USD.percent_change_24h,1.03010154
92,Bitcoin Cash,quote.USD.percent_change_7d,9.5813838
93,Bitcoin Cash,quote.USD.percent_change_30d,1.32798192
94,Bitcoin Cash,quote.USD.percent_change_60d,-21.88589407
95,Bitcoin Cash,quote.USD.percent_change_90d,-20.62129212
96,NEAR Protocol,quote.USD.percent_change_1h,-0.64811348
97,NEAR Protocol,quote.USD.percent_change_24h,-3.6720332
98,NEAR Protocol,quote.USD.percent_change_7d,20.94966634
99,NEAR Protocol,quote.USD.percent_change_30d,32.57508555
100,NEAR Protocol,quote.USD.percent_change_60d,-23.35740268
101,NEAR Protocol,quote.USD.percent_change_90d,7.10182645
102,UNUS SED LEO,quote.USD.percent_change_1h,-0.52551589
103,UNUS SED LEO,quote.USD.percent_change_24h,-0.19201855
104,UNUS SED LEO,quote.USD.percent_change_7d,-0.98252591
105,UNUS SED LEO,quote.USD.percent_change_30d,0.75182436
106,UNUS SED LEO,quote.USD.percent_change_60d,-2.22178257
107,UNUS SED LEO,quote.USD.percent_change_90d,-0.90258883
108,Dai,quote.USD.percent_change_1h,0.00313242
109,Dai,quote.USD.percent_change_24h,-0.00699545
110,Dai,quote.USD.percent_change_7d,-0.00982234
111,Dai,quote.USD.percent_change_30d,0.01162752
112,Dai,quote.USD.percent_change_60d,-0.01483302
113,Dai,quote.USD.percent_change_90d,-0.00711105
114,Litecoin,quote.USD.percent_change_1h,-0.40790736
115,Litecoin,quote.USD.percent_change_24h,-2.1621499
116,Litecoin,quote.USD.percent_change_7d,3.97982376
117,Litecoin,quote.USD.percent_change_30d,-0.57070987
118,Litecoin,quote.USD.percent_change_60d,-14.23004572
119,Litecoin,quote.USD.percent_change_90d,-12.72114019
0,Bitcoin,quote.USD.percent_change_1h,-0.0026081
1,Bitcoin,quote.USD.percent_change_24h,-1.81282031
2,Bitcoin,quote.USD.percent_change_7d,10.53701638
3,Bitcoin,quote.USD.percent_change_30d,-1.4041389
4,Bitcoin,quote.USD.percent_change_60d,-4.25309431
5,Bitcoin,quote.USD.percent_change_90d,-1.26008793
6,Ethereum,quote.USD.percent_change_1h,0.01198067
7,Ethereum,quote.USD.percent_change_24h,-0.65516818
8,Ethereum,quote.USD.percent_change_7d,9.23253562
9,Ethereum,quote.USD.percent_change_30d,0.17219584
10,Ethereum,quote.USD.percent_change_60d,10.48692619
11,Ethereum,quote.USD.percent_change_90d,10.15377909
12,Tether USDt,quote.USD.percent_change_1h,0.03166438
13,Tether USDt,quote.USD.percent_change_24h,0.01357317
14,Tether USDt,quote.USD.percent_change_7d,0.02315058
15,Tether USDt,quote.USD.percent_change_30d,0.06199257
16,Tether USDt,quote.USD.percent_change_60d,0.02237093
17,Tether USDt,quote.USD.percent_change_90d,-0.0093887
18,BNB,quote.USD.percent_change_1h,-0.24196977
19,BNB,quote.USD.percent_change_24h,-1.17754154
20,BNB,quote.USD.percent_change_7d,7.71686583
21,BNB,quote.USD.percent_change_30d,-1.99047107
22,BNB,quote.USD.percent_change_60d,-1.57120896
23,BNB,quote.USD.percent_change_90d,1.06680796
24,Solana,quote.USD.percent_change_1h,-0.62393258
25,Solana,quote.USD.percent_change_24h,-0.53230846
26,Solana,quote.USD.percent_change_7d,13.98080129
27,Solana,quote.USD.percent_change_30d,18.76648918
28,Solana,quote.USD.percent_change_60d,-7.99329
