,name,percentage change,averages
80,Polkadot,7d,-2.71556316
81,Polkadot,30d,5.33091462
82,Polkadot,60d,-15.11287227
83,Polkadot,90d,-18.19568578
84,Chainlink,1h,-0.20471811
85,Chainlink,24h,-1.72265883
86,Chainlink,7d,-0.30187235
87,Chainlink,30d,4.02499467
88,Chainlink,60d,-20.03687684
89,Chainlink,90d,-9.04045342
90,Bitcoin Cash,1h,-0.39948065
91,Bitcoin Cash,24h,-1.50149988
92,Bitcoin Cash,7d,0.84179491
93,Bitcoin Cash,30d,-1.27280113
94,Bitcoin Cash,60d,-21.96837394
95,Bitcoin Cash,90d,-24.11324098
96,NEAR Protocol,1h,-0.98306926
97,NEAR Protocol,24h,-5.3430651
98,NEAR Protocol,7d,-2.19020913
99,NEAR Protocol,30d,11.08678672
100,NEAR Protocol,60d,-22.52766995
101,NEAR Protocol,90d,-16.09880134
102,Polygon,1h,1.37506062
103,Polygon,24h,1.74927722
104,Polygon,7d,4.08614566
105,Polygon,30d,-5.20008218
106,Polygon,60d,-24.05372386
107,Polygon,90d,-27.09110294
108,Litecoin,1h,0.26843756
109,Litecoin,24h,-2.2067937
110,Litecoin,7d,1.05128925
111,Litecoin,30d,-2.20540671
112,Litecoin,60d,-15.6587352
113,Litecoin,90d,-16.79481697
114,Dai,1h,-0.00831557
115,Dai,24h,0.00185479
116,Dai,7d,-0.00068792
117,Dai,30d,-0.00995398
118,Dai,60d,0.00441973
119,Dai,90d,-0.00026286
120,Bitcoin,1h,-0.15440044
121,Bitcoin,24h,-0.716811
122,Bitcoin,7d,5.44654053
123,Bitcoin,30d,4.09929922
124,Bitcoin,60d,-0.75841822
125,Bitcoin,90d,0.72440696
126,Ethereum,1h,-0.33901175
127,Ethereum,24h,0.62453187
128,Ethereum,7d,3.06578348
129,Ethereum,30d,0.67392287
130,Ethereum,60d,-5.11104552
131,Ethereum,90d,7.65263781
132,Tether USDt,1h,-0.02209734
133,Tether USDt,24h,-0.02109208
134,Tether USDt,7d,-0.0634631
135,Tether USDt,30d,0.05182917
136,Tether USDt,60d,0.02416926
137,Tether USDt,90d,-0.01718304
138,BNB,1h,-0.40746041
139,BNB,24h,-1.97691842
140,BNB,7d,2.98488121
141,BNB,30d,-0.56412599
142,BNB,60d,-1.7788661
143,BNB,90d,-4.90783376
144,Solana,1h,-0.08480166
145,Solana,24h,-0.79599426
146,Solana,7d,14.05058667
147,Solana,30d,32.92354442
148,Solana,60d,7.50684777
149,Solana,90d,12.82968555
150,USDC,1h,-0.01999802
151,USDC,24h,-0.01782832
152,USDC,7d,-0.0269938
153,USDC,30d,-0.0056848
154,USDC,60d,-0.02597094
155,USDC,90d,-0.02014824
156,XRP,1h,0.07169722
157,XRP,24h,-0.18817911
158,XRP,7d,10.35227955
159,XRP,30d,23.479719
160,XRP,60d,15.05268447
161,XRP,90d,10.32717006
162,Dogecoin,1h,-0.52836118
163,Dogecoin,24h,-1.95842891
164,Dogecoin,7d,10.82838601
165,Dogecoin,30d,8.55250709
166,Dogecoin,60d,-15.76188822
167,Dogecoin,90d,-16.33089575
168,Toncoin,1h,-0.24236096
169,Toncoin,24h,-1.55985849
170,Toncoin,7d,-6.30584248
171,Toncoin,30d,-8.70655717
172,Toncoin,60d,11.98426774
173,Toncoin,90d,19.68612436
174,Cardano,1h,-0.00417975
175,Cardano,24h,-2.39775036
176,Cardano,7d,-1.18789328
177,Cardano,30d,9.06988633
178,Cardano,60d,-7.68607916
179,Cardano,90d,-14.07310442
180,Avalanche,1h,-0.1007323
181,Avalanche,24h,-5.56748466
182,Avalanche,7d,12.40813001
183,Avalanche,30d,20.11940634
184,Avalanche,60d,-18.76223415
185,Avalanche,90d,-21.82387737
186,TRON,1h,0.0595084
187,TRON,24h,-2.04489058
188,TRON,7d,-1.28330708
189,TRON,30d,10.11195434
190,TRON,60d,15.91891587
191,TRON,90d,16.56126933
192,Shiba Inu,1h,-0.26748006
193,Shiba Inu,24h,-2.04287852
194,Shiba Inu,7d,-10.09410378
195,Shiba Inu,30d,-3.44418393
196,Shiba Inu,60d,-27.74382806
197,Shiba Inu,90d,-35.7538824
198,Polkadot,1h,-0.54613465
199,Polkadot,24h,-3.29500895
200,Polkadot,7d,-2.71556316
201,Polkadot,30d,5.33091462
202,Polkadot,60d,-15.11287227
203,Polkadot,90d,-18.19568578
204,Chainlink,1h,-0.20471811
205,Chainlink,24h,-1.72265883
206,Chainlink,7d,-0.30187235
207,Chainlink,30d,4.02499467
208,Chainlink,60d,-20.03687684
209,Chainlink,90d,-9.04045342
210,Bitcoin Cash,1h,-0.39948065
211,Bitcoin Cash,24h,-1.50149988
212,Bitcoin Cash,7d,0.84179491
213,Bitcoin Cash,30d,-1.27280113
214,Bitcoin Cash,60d,-21.96837394
215,Bitcoin Cash,90d,-24.11324098
216,NEAR Protocol,1h,-0.98306926
217,NEAR Protocol,24h,-5.3430651
218,NEAR Protocol,7d,-2.19020913
219,NEAR Protocol,30d,11.08678672
220,NEAR Protocol,60d,-22.52766995
221,NEAR Protocol,90d,-16.09880134
222,Polygon,1h,1.37506062
223,Polygon,24h,1.74927722
224,Polygon,7d,4.08614566
225,Polygon,30d,-5.20008218
226,Polygon,60d,-24.05372386
227,Polygon,90d,-27.09110294
228,Litecoin,1h,0.26843756
229,Litecoin,24h,-2.2067937
230,Litecoin,7d,1.05128925
231,Litecoin,30d,-2.20540671
232,Litecoin,60d,-15.6587352
233,Litecoin,90d,-16.79481697
234,Dai,1h,-0.00831557
235,Dai,24h,0.00185479
236,Dai,7d,-0.00068792
237,Dai,30d,-0.00995398
238,Dai,60d,0.00441973
239,Dai,90d,-0.00026286
240,Bitcoin,1h,-0.16553993
241,Bitcoin,24h,-0.73103824
242,Bitcoin,7d,5.43442577
243,Bitcoin,30d,4.07047868
244,Bitcoin,60d,-0.75980159
245,Bitcoin,90d,0.70962686
246,Ethereum,1h,-0.2666949
247,Ethereum,24h,0.71365656
248,Ethereum,7d,3.12823652
249,Ethereum,30d,0.70391608
250,Ethereum,60d,-5.02775618
251,Ethereum,90d,7.58263691
252,Tether USDt,1h,-0.00085912
253,Tether USDt,24h,0.00097197
254,Tether USDt,7d,-0.04888299
255,Tether USDt,30d,0.0564076
256,Tether USDt,60d,0.03654562
257,Tether USDt,90d,0.01999819
258,BNB,1h,-0.39497102
259,BNB,24h,-1.97598245
260,BNB,7d,2.98216176
261,BNB,30d,-0.55552447
262,BNB,60d,-1.79627555
263,BNB,90d,-4.90433427
264,Solana,1h,-0.08350647
265,Solana,24h,-0.77508799
266,Solana,7d,14.04867509
267,Solana,30d,32.9172218
268,Solana,60d,7.49305864
269,Solana,90d,12.80674587
270,USDC,1h,-0.00669899
271,USDC,24h,-0.00179639
272,USDC,7d,-0.01175115
273,USDC,30d,0.00201695
274,USDC,60d,-0.00564952
275,USDC,90d,0.01384062
276,XRP,1h,0.0633987
277,XRP,24h,-0.19441881
278,XRP,7d,10.36771701
279,XRP,30d,23.47414644
280,XRP,60d,15.04809942
281,XRP,90d,10.31206791
282,Dogecoin,1h,-0.52731809
283,Dogecoin,24h,-1.94950938
284,Dogecoin,7d,10.83256324
285,Dogecoin,30d,8.55065261
286,Dogecoin,60d,-15.75657133
287,Dogecoin,90d,-16.33235276
288,Toncoin,1h,-0.23178272
289,Toncoin,24h,-1.55564603
290,Toncoin,7d,-6.28846532
291,Toncoin,30d,-8.67692768
292,Toncoin,60d,11.98893216
293,Toncoin,90d,19.65628703
294,Cardano,1h,0.00149429
295,Cardano,24h,-2.39585899
296,Cardano,7d,-1.21221735
297,Cardano,30d,9.07339934
298,Cardano,60d,-7.68523369
299,Cardano,90d,-14.08118876
300,Avalanche,1h,-0.10321868
301,Avalanche,24h,-5.56180413
302,Avalanche,7d,12.40192811
303,Avalanche,30d,20.11539853
304,Avalanche,60d,-18.77235854
305,Avalanche,90d,-21.83266894
306,TRON,1h,0.06349453
307,TRON,24h,-2.05337529
308,TRON,7d,-1.28074338
309,TRON,30d,10.1054535
310,TRON,60d,15.90684312
311,TRON,90d,16.55088225
312,Shiba Inu,1h,-0.26384089
313,Shiba Inu,24h,-2.03274456
314,Shiba Inu,7d,-10.076724
315,Shiba Inu,30d,-3.43888706
316,Shiba Inu,60d,-27.73027659
317,Shiba Inu,90d,-35.77226109
318,Polkadot,1h,-0.51540745
319,Polkadot,24h,-3.27386516
320,Polkadot,7d,-2.68027855
321,Polkadot,30d,5.35351937
322,Polkadot,60d,-15.09491386
323,Polkadot,90d,-18.20653646
324,Chainlink,1h,-0.19578183
325,Chainlink,24h,-1.71497819
326,Chainlink,7d,-0.29788721
327,Chainlink,30d,4.0319432
328,Chainlink,60d,-20.03415807
329,Chainlink,90d,-9.03659862
330,Bitcoin Cash,1h,-0.3981933
331,Bitcoin Cash,24h,-1.50009073
332,Bitcoin Cash,7d,0.84201807
333,Bitcoin Cash,30d,-1.27292046
334,Bitcoin Cash,60d,-21.96289824
335,Bitcoin Cash,90d,-24.1134191
336,NEAR Protocol,1h,-0.97900084
337,NEAR Protocol,24h,-5.33530839
338,NEAR Protocol,7d,-2.17477458
339,NEAR Protocol,30d,11.08794164
340,NEAR Protocol,60d,-22.54219728
341,NEAR Protocol,90d,-16.06729655
342,Polygon,1h,1.37922012
343,Polygon,24h,1.75124451
344,Polygon,7d,4.08840352
345,Polygon,30d,-5.2024912
346,Polygon,60d,-24.04882172
347,Polygon,90d,-27.106834
348,Litecoin,1h,0.26133914
349,Litecoin,24h,-2.20666243
350,Litecoin,7d,1.05372104
351,Litecoin,30d,-2.20518638
352,Litecoin,60d,-15.65539371
353,Litecoin,90d,-16.79137787
354,Dai,1h,-0.00894747
355,Dai,24h,0.00648497
356,Dai,7d,-0.00125204
357,Dai,30d,-0.00762806
358,Dai,60d,0.00171375
359,Dai,90d,-0.00052604
