,name,percentage change,averages
0,Bitcoin,1h,-0.15440044
1,Bitcoin,24h,-0.716811
2,Bitcoin,7d,5.44654053
3,Bitcoin,30d,4.09929922
4,Bitcoin,60d,-0.75841822
5,Bitcoin,90d,0.72440696
6,Ethereum,1h,-0.33901175
7,Ethereum,24h,0.62453187
8,Ethereum,7d,3.06578348
9,Ethereum,30d,0.67392287
10,Ethereum,60d,-5.11104552
11,Ethereum,90d,7.65263781
12,Tether USDt,1h,-0.02209734
13,Tether USDt,24h,-0.02109208
14,Tether USDt,7d,-0.0634631
15,Tether USDt,30d,0.05182917
16,Tether USDt,60d,0.02416926
17,Tether USDt,90d,-0.01718304
18,BNB,1h,-0.40746041
19,BNB,24h,-1.97691842
20,BNB,7d,2.98488121
21,BNB,30d,-0.56412599
22,BNB,60d,-1.7788661
23,BNB,90d,-4.90783376
24,Solana,1h,-0.08480166
25,Solana,24h,-0.79599426
26,Solana,7d,14.05058667
27,Solana,30d,32.92354442
28,Solana,60d,7.50684777
29,Solana,90d,12.82968555
30,USDC,1h,-0.01999802
31,USDC,24h,-0.01782832
32,USDC,7d,-0.0269938
33,USDC,30d,-0.0056848
34,USDC,60d,-0.02597094
35,USDC,90d,-0.02014824
36,XRP,1h,0.07169722
37,XRP,24h,-0.18817911
38,XRP,7d,10.35227955
39,XRP,30d,23.479719
40,XRP,60d,15.05268447
41,XRP,90d,10.32717006
42,Dogecoin,1h,-0.52836118
43,Dogecoin,24h,-1.95842891
44,Dogecoin,7d,10.82838601
45,Dogecoin,30d,8.55250709
46,Dogecoin,60d,-15.76188822
47,Dogecoin,90d,-16.33089575
48,Toncoin,1h,-0.24236096
49,Toncoin,24h,-1.55985849
50,Toncoin,7d,-6.30584248
51,Toncoin,30d,-8.70655717
52,Toncoin,60d,11.98426774
53,Toncoin,90d,19.68612436
54,Cardano,1h,-0.00417975
55,Cardano,24h,-2.39775036
56,Cardano,7d,-1.18789328
57,Cardano,30d,9.06988633
58,Cardano,60d,-7.68607916
59,Cardano,90d,-14.07310442
60,Avalanche,1h,-0.1007323
61,Avalanche,24h,-5.56748466
62,Avalanche,7d,12.40813001
63,Avalanche,30d,20.11940634
64,Avalanche,60d,-18.76223415
65,Avalanche,90d,-21.82387737
66,TRON,1h,0.0595084
67,TRON,24h,-2.04489058
68,TRON,7d,-1.28330708
69,TRON,30d,10.11195434
70,TRON,60d,15.91891587
71,TRON,90d,16.56126933
72,Shiba Inu,1h,-0.26748006
73,Shiba Inu,24h,-2.04287852
74,Shiba Inu,7d,-10.09410378
75,Shiba Inu,30d,-3.44418393
76,Shiba Inu,60d,-27.74382806
77,Shiba Inu,90d,-35.7538824
78,Polkadot,1h,-0.54613465
79,Polkadot,24h,-3.29500895
